gap,dtheta_deg,r_mm,d_ball_mm,rpm,overlap_deg,t_overlap_us,t_need_us,spacing_deg,A1_fits,A1_margin_us,A2_nocross,A2_margin_deg,A3_envelope,A4_strike,eta_real,viable
SG3b,-2,300,8,3000,1.910,106.10,4.30,4.95,True,101.8,True,3.04,True,True,0.7037,True
SG3b,-2,300,8,4500,1.910,70.74,4.30,4.95,True,66.4,True,3.04,True,True,0.7051,True
SG3b,-2,300,8,6000,1.910,53.05,4.30,4.95,True,48.8,True,3.04,True,True,0.7057,True
SG3b,-2,300,12,3000,2.674,148.54,4.30,4.95,True,144.2,True,2.28,True,True,0.7021,True
SG3b,-2,300,12,4500,2.674,99.03,4.30,4.95,True,94.7,True,2.28,True,True,0.7040,True
SG3b,-2,300,12,6000,2.674,74.27,4.30,4.95,True,70.0,True,2.28,True,True,0.7049,True
SG3b,-2,300,16,3000,3.438,190.99,4.30,4.95,True,186.7,True,1.51,True,True,0.7005,True
SG3b,-2,300,16,4500,3.438,127.32,4.30,4.95,True,123.0,True,1.51,True,True,0.7029,True
SG3b,-2,300,16,6000,3.438,95.49,4.30,4.95,True,91.2,True,1.51,True,True,0.7041,True
SG3b,-2,300,20,3000,4.202,233.43,4.30,4.95,True,229.1,True,0.75,True,True,0.6989,True
SG3b,-2,300,20,4500,4.202,155.62,4.30,4.95,True,151.3,True,0.75,True,True,0.7019,True
SG3b,-2,300,20,6000,4.202,116.71,4.30,4.95,True,112.4,True,0.75,True,True,0.7033,True
SG3b,-2,350,4,3000,0.982,54.57,4.30,4.95,True,50.3,True,3.97,True,True,0.7057,True
SG3b,-2,350,4,4500,0.982,36.38,4.30,4.95,True,32.1,True,3.97,True,True,0.7064,True
SG3b,-2,350,4,6000,0.982,27.28,4.30,4.95,True,23.0,True,3.97,True,True,0.7067,True
SG3b,-2,350,8,3000,1.637,90.95,4.30,4.95,True,86.6,True,3.31,True,True,0.7043,True
SG3b,-2,350,8,4500,1.637,60.63,4.30,4.95,True,56.3,True,3.31,True,True,0.7054,True
SG3b,-2,350,8,6000,1.637,45.47,4.30,4.95,True,41.2,True,3.31,True,True,0.7060,True
SG3b,-2,350,12,3000,2.292,127.32,4.30,4.95,True,123.0,True,2.66,True,True,0.7029,True
SG3b,-2,350,12,4500,2.292,84.88,4.30,4.95,True,80.6,True,2.66,True,True,0.7045,True
SG3b,-2,350,12,6000,2.292,63.66,4.30,4.95,True,59.4,True,2.66,True,True,0.7053,True
SG3b,-2,350,16,3000,2.947,163.70,4.30,4.95,True,159.4,True,2.00,True,True,0.7016,True
SG3b,-2,350,16,4500,2.947,109.13,4.30,4.95,True,104.8,True,2.00,True,True,0.7036,True
SG3b,-2,350,16,6000,2.947,81.85,4.30,4.95,True,77.6,True,2.00,True,True,0.7047,True
SG3b,-2,350,20,3000,3.601,200.08,4.30,4.95,True,195.8,True,1.35,True,True,0.7002,True
SG3b,-2,350,20,4500,3.601,133.39,4.30,4.95,True,129.1,True,1.35,True,True,0.7027,True
SG3b,-2,350,20,6000,3.601,100.04,4.30,4.95,True,95.7,True,1.35,True,True,0.7040,True
SG3b,-2,387,4,3000,0.888,49.35,4.30,4.95,True,45.1,True,4.06,True,True,0.7059,True
SG3b,-2,387,4,4500,0.888,32.90,4.30,4.95,True,28.6,True,4.06,True,True,0.7065,True
SG3b,-2,387,4,6000,0.888,24.68,4.30,4.95,True,20.4,True,4.06,True,True,0.7068,True
SG3b,-2,387,8,3000,1.481,82.25,4.30,4.95,True,78.0,True,3.47,True,True,0.7046,True
SG3b,-2,387,8,4500,1.481,54.83,4.30,4.95,True,50.5,True,3.47,True,True,0.7057,True
SG3b,-2,387,8,6000,1.481,41.13,4.30,4.95,True,36.8,True,3.47,True,True,0.7062,True
SG3b,-2,387,12,3000,2.073,115.15,4.30,4.95,True,110.9,True,2.88,True,True,0.7034,True
SG3b,-2,387,12,4500,2.073,76.77,4.30,4.95,True,72.5,True,2.88,True,True,0.7048,True
SG3b,-2,387,12,6000,2.073,57.58,4.30,4.95,True,53.3,True,2.88,True,True,0.7056,True
SG3b,-2,387,16,3000,2.665,148.05,4.30,4.95,True,143.8,True,2.29,True,True,0.7022,True
SG3b,-2,387,16,4500,2.665,98.70,4.30,4.95,True,94.4,True,2.29,True,True,0.7040,True
SG3b,-2,387,16,6000,2.665,74.03,4.30,4.95,True,69.7,True,2.29,True,True,0.7049,True
SG3b,-2,387,20,3000,3.257,180.95,4.30,4.95,True,176.7,True,1.69,True,True,0.7009,True
SG3b,-2,387,20,4500,3.257,120.63,4.30,4.95,True,116.3,True,1.69,True,True,0.7032,True
SG3b,-2,387,20,6000,3.257,90.48,4.30,4.95,True,86.2,True,1.69,True,True,0.7043,True
SG3b,-2,450,4,3000,0.764,42.44,4.30,4.95,True,38.1,True,4.19,True,True,0.7061,True
SG3b,-2,450,4,4500,0.764,28.29,4.30,4.95,True,24.0,True,4.19,True,True,0.7067,True
SG3b,-2,450,4,6000,0.764,21.22,4.30,4.95,True,16.9,True,4.19,True,True,0.7069,True
SG3b,-2,450,8,3000,1.273,70.74,4.30,4.95,True,66.4,True,3.68,True,True,0.7051,True
